name,bars,stripes,colours,red,green,blue,gold/yellow,white,black,orange/brown,mainhue,circles,crosses,saltires,quarters,sunstars,crescent,triangle,icon,animate,text,topleft,botright
Italy,3,0,3,1,1,0,0,1,0,0,none,0,0,0,0,0,0,0,0,0,0,green,red
Ivory-Coast,3,0,3,0,1,0,0,1,0,1,none,0,0,0,0,0,0,0,0,0,0,orange,green
Jamaica,0,0,3,0,1,0,1,0,1,0,green,0,0,1,0,0,0,1,0,0,0,gold,gold
Japan,0,0,2,1,0,0,0,1,0,0,white,1,0,0,0,0,0,0,0,0,0,white,white
Jordan,0,3,4,1,1,0,0,1,1,0,none,0,0,0,0,1,0,1,0,0,0,black,green
Kazakhstan,0,0,2,0,0,1,1,0,0,0,blue,1,0,0,0,1,0,0,1,1,0,blue,blue
Kenya,0,5,4,1,1,0,0,1,1,0,red,0,0,0,0,0,0,0,1,0,0,black,green
Kiribati,0,0,4,1,0,1,1,1,0,0,red,0,0,0,0,1,0,0,1,1,0,red,blue
Kuwait,0,3,4,1,1,0,0,1,1,0,none,0,0,0,0,0,0,0,0,0,0,green,red
Kyrgyzstan,0,0,2,1,0,0,1,0,0,0,red,0,0,0,0,1,0,0,1,0,0,red,red
Laos,0,3,3,1,0,1,0,1,0,0,none,1,0,0,0,0,0,0,0,0,0,red,red
Latvia,0,3,2,1,0,0,0,1,0,0,red,0,0,0,0,0,0,0,0,0,0,red,red
Lebanon,0,2,3,1,1,0,0,1,0,0,none,0,0,0,0,0,0,0,1,0,0,red,red
Lesotho,0,3,4,0,1,1,0,1,1,0,none,0,0,0,0,0,0,0,1,0,0,blue,green
Liberia,0,11,3,1,0,1,0,1,0,0,red,0,0,0,1,1,0,0,0,0,0,blue,red
Libya,0,3,4,1,1,0,0,1,1,0,black,0,0,0,0,1,1,0,0,0,0,red,green
Liechtenstein,0,2,3,1,0,1,1,0,0,0,red,0,0,0,0,0,0,0,1,0,0,blue,red
Lithuania,0,3,3,1,1,0,1,0,0,0,none,0,0,0,0,0,0,0,0,0,0,gold,red
Luxembourg,0,3,3,1,0,1,0,1,0,0,none,0,0,0,0,0,0,0,0,0,0,red,blue
Madagascar,1,2,3,1,1,0,0,1,0,0,none,0,0,0,0,0,0,0,0,0,0,white,green
Malawi,0,3,3,1,1,0,0,0,1,0,red,0,0,0,0,1,0,0,0,0,0,black,green
Malaysia,0,14,4,1,0,1,1,1,0,0,none,0,0,0,1,1,1,0,0,0,0,blue,white
Maldive-Islands,0,0,3,1,1,0,0,1,0,0,red,0,0,0,0,0,1,0,0,0,0,red,red
Mali,3,0,3,1,1,0,1,0,0,0,none,0,0,0,0,0,0,0,0,0,0,green,red
Malta,2,0,2,1,0,0,0,1,0,0,red,0,1,0,0,0,0,0,1,0,1,white,red
Marshall Islands,0,0,3,0,0,1,0,1,0,1,bule,0,0,0,0,1,0,0,0,0,0,blue,blue
Mauritania,0,3,3,1,1,0,1,0,0,0,green,0,0,0,0,1,1,0,0,0,0,red,red
Mauritius,0,4,4,1,1,1,1,0,0,0,none,0,0,0,0,0,0,0,0,0,0,red,green
Mexico,3,0,4,1,1,0,0,1,0,1,none,0,0,0,0,0,0,0,1,1,0,green,red
Moldova,3,0,4,1,0,1,1,0,0,1,none,0,0,0,0,0,0,0,1,1,0,blue,red
Monaco,0,2,2,1,0,0,0,1,0,0,none,0,0,0,0,0,0,0,0,0,0,red,white
Mongolia,3,0,3,1,0,1,1,0,0,0,red,2,0,0,0,1,1,1,1,0,0,red,red
Montenegro,0,0,4,1,1,1,1,0,0,0,red,0,0,0,0,0,0,0,1,1,0,gold,gold
Morocco,0,0,2,1,1,0,0,0,0,0,red,0,0,0,0,1,0,0,0,0,0,red,red
Mozambique,0,5,5,1,1,0,1,1,1,0,none,0,0,0,0,1,0,1,1,0,0,green,gold
Myanmar,0,3,4,1,1,0,1,1,0,0,none,0,0,0,0,1,0,0,0,0,0,gold,red
Namibia,0,0,5,1,1,1,1,1,0,0,none,1,0,0,0,1,0,0,0,0,0,blue,green
Nepal,0,0,3,1,0,1,0,1,0,0,red,0,0,0,0,2,1,0,0,0,0,blue,blue
Netherlands,0,3,3,1,0,1,0,1,0,0,none,0,0,0,0,0,0,0,0,0,0,red,blue
New-Zealand,0,0,3,1,0,1,0,1,0,0,blue,0,1,1,1,4,0,0,0,0,0,white,blue
Nicaragua,0,3,3,0,0,1,1,1,0,0,blue,0,0,0,0,0,0,0,1,0,1,blue,blue
Niger,0,3,3,0,1,0,0,1,0,1,orange,1,0,0,0,0,0,0,0,0,0,orange,green
Nigeria,3,0,2,0,1,0,0,1,0,0,green,0,0,0,0,0,0,0,0,0,0,green,green
North-Korea,0,5,3,1,0,1,0,1,0,0,red,1,0,0,0,1,0,0,0,0,0,blue,blue
North Macedonia,0,0,2,1,0,0,1,0,0,0,red,1,0,0,0,1,0,0,0,0,0,yellow,yellow
Norway,0,0,3,1,0,1,0,1,0,0,red,0,1,0,0,0,0,0,0,0,0,red,red
Oman,1,3,3,1,1,0,0,1,0,0,red,0,0,0,0,0,0,0,1,0,0,red,green
Pakistan,1,0,2,0,1,0,0,1,0,0,green,0,0,0,0,1,1,0,0,0,0,white,green
Palau,0,0,2,0,0,1,1,0,0,0,blue,1,0,0,0,0,0,0,0,0,0,blue,blue
Palestine,0,3,4,1,1,0,0,1,1,0,none,0,0,0,0,0,0,1,0,0,0,black,green
Panama,0,0,3,1,0,1,0,1,0,0,white,0,0,0,4,2,0,0,0,0,0,white,white
Papua-New-Guinea,0,0,4,1,0,0,1,1,1,0,none,0,0,0,0,5,0,0,0,1,0,red,black
Parguay,0,3,6,1,1,1,1,1,1,0,none,1,0,0,0,1,0,0,1,0,1,red,blue
Peru,3,0,2,1,0,0,0,1,0,0,red,0,0,0,0,0,0,0,0,0,0,red,red
Philippines,0,2,4,1,0,1,1,1,0,0,none,0,0,0,0,4,0,1,0,0,0,blue,red
Poland,0,2,2,1,0,0,0,1,0,0,none,0,0,0,0,0,0,0,0,0,0,white,red
Portugal,1,0,5,1,1,1,1,1,0,0,red,1,0,0,0,0,0,0,1,0,0,green,red
Qatar,0,0,2,0,0,0,0,1,0,1,brown,0,0,0,0,0,0,0,0,0,0,white,brown
Romania,3,0,3,1,0,1,1,0,0,0,none,0,0,0,0,0,0,0,0,0,0,blue,red
Russia,0,3,3,1,0,1,0,1,0,0,none,0,0,0,0,0,0,0,0,0,0,white,red
Rwanda,0,3,3,0,1,1,1,0,0,0,blue,0,0,0,0,1,0,0,0,0,0,blue,green
Saint-Kitts-Nevis,0,0,5,1,1,0,1,1,1,0,none,0,0,0,0,2,0,0,0,0,0,green,red
Saint-Lucia,0,0,4,0,0,1,1,1,1,0,blue,0,0,0,0,0,0,1,0,0,0,blue,blue
Saint Vincent and the Grenadines,3,0,3,0,1,1,1,0,0,0,none,0,0,0,0,0,0,0,1,0,0,blue,green
Samoa,0,0,3,1,0,1,0,1,0,0,red,0,0,0,1,5,0,0,0,0,0,blue,red
San-Marino,0,2,4,0,1,1,1,1,0,0,none,0,0,0,0,0,0,0,1,0,1,white,blue
Sao-Tome,0,3,4,1,1,0,1,0,1,0,none,0,0,0,0,2,0,1,0,0,0,green,green
Saudi-Arabia,0,0,2,0,1,0,0,1,0,0,green,0,0,0,0,0,0,0,1,0,1,green,green
Senegal,3,0,3,1,1,0,1,0,0,0,green,0,0,0,0,1,0,0,0,0,0,green,red
Serbia,0,3,4,1,0,1,1,1,0,0,none,0,0,0,0,0,0,0,1,1,0,red,white
Seychelles,0,0,5,1,1,1,1,1,0,0,none,0,0,0,0,0,0,0,0,0,0,blue,green
Sierra-Leone,0,3,3,0,1,1,0,1,0,0,none,0,0,0,0,0,0,0,0,0,0,green,blue
Singapore,0,2,2,1,0,0,0,1,0,0,white,0,0,0,0,5,1,0,0,0,0,red,white
Slovakia,0,3,3,1,0,1,0,1,0,0,red,0,0,0,0,0,0,0,1,0,0,white,red
Slovenia,0,3,4,1,0,1,1,1,0,0,blue,0,0,0,0,3,0,0,1,0,0,white,red
Soloman-Islands,0,0,4,0,1,1,1,1,0,0,green,0,0,0,0,5,0,0,0,0,0,blue,green
Somalia,0,0,2,0,0,1,0,1,0,0,blue,0,0,0,0,1,0,0,0,0,0,blue,blue
South-Africa,0,0,6,1,1,1,1,1,1,0,none,0,0,0,0,0,0,1,0,0,0,green,blue
South-Korea,0,0,4,1,0,1,0,1,1,0,white,1,0,0,0,0,0,0,1,0,0,white,white
South Sudan,0,5,6,1,1,1,1,1,1,0,none,0,0,0,0,1,0,1,0,0,0,black,green
Spain,0,3,2,1,0,0,1,0,0,0,none,0,0,0,0,0,0,0,1,1,1,red,red
Sri-Lanka,2,0,4,0,1,0,1,0,0,1,none,0,0,0,0,0,0,0,1,1,0,gold,gold
Sudan,0,3,4,1,1,0,0,1,1,0,none,0,0,0,0,0,0,1,0,0,0,red,black
Surinam,0,5,4,1,1,0,1,1,0,0,none,0,0,0,0,1,0,0,0,0,0,green,green
Sweden,0,0,2,0,0,1,1,0,0,0,blue,0,1,0,0,0,0,0,0,0,0,blue,blue
Switzerland,0,0,2,1,0,0,0,1,0,0,red,0,1,0,0,0,0,0,0,0,0,red,red
Syria,0,3,4,1,1,0,0,1,1,0,none,0,0,0,0,2,0,0,0,0,0,red,black
Tajikistan,0,3,4,1,1,0,1,1,0,0,none,0,0,0,0,7,0,0,1,0,0,red,green
Tanzania,0,0,4,0,1,1,1,0,1,0,none,0,0,0,0,0,0,0,0,0,0,green,blue
Thailand,0,5,3,1,0,1,0,1,0,0,none,0,0,0,0,0,0,0,0,0,0,red,red
Togo,0,5,4,1,1,0,1,1,0,0,green,0,0,0,1,1,0,0,0,0,0,red,green
Tonga,0,0,2,1,0,0,0,1,0,0,red,0,1,0,1,0,0,0,0,0,0,white,red
Trinidad-Tobago,0,0,3,1,0,0,0,1,1,0,red,0,0,0,0,0,0,0,0,0,0,white,white
Tunisia,0,0,2,1,0,0,0,1,0,0,red,1,0,0,0,1,1,0,0,0,0,red,red
Turkey,0,0,2,1,0,0,0,1,0,0,red,0,0,0,0,1,1,0,0,0,0,red,red
Turkmenistan,1,0,4,1,1,0,1,1,0,0,green,0,0,0,0,5,1,0,1,1,0,green,green
Tuvalu,0,0,4,1,0,1,1,1,0,0,blue,0,1,1,1,9,0,0,0,0,0,white,blue
Uganda,0,6,4,1,0,0,1,1,1,0,gold,1,0,0,0,0,0,0,0,1,0,gold,red
Ukraine,0,2,2,0,0,1,1,0,0,0,none,0,0,0,0,0,0,0,0,0,0,blue,gold
United Arab Emirates,1,3,4,1,1,0,0,1,1,0,none,0,0,0,0,0,0,0,0,0,0,red,black
United Kingdom,0,0,3,1,0,1,0,1,0,0,none,0,1,1,0,0,0,0,0,0,0,white,white
United States,0,13,3,1,0,1,0,1,0,0,white,0,0,0,1,50,0,0,0,0,0,blue,red
Uruguay,0,9,3,0,0,1,1,1,0,0,white,0,0,0,1,1,0,0,0,0,0,white,white
Uzbekistan,0,5,4,1,1,1,0,1,0,0,white,0,0,0,0,12,1,0,0,0,0,blue,green
Vanuatu,0,0,4,1,1,0,1,0,1,0,none,0,0,0,0,0,0,1,1,0,0,black,green
Vatican-City,2,0,4,1,0,0,1,1,1,0,gold,0,0,0,0,0,0,0,1,0,0,gold,white
Venezuela,0,3,7,1,1,1,1,1,1,1,red,0,0,0,0,8,0,0,1,1,0,gold,red
Vietnam,0,0,2,1,0,0,1,0,0,0,red,0,0,0,0,1,0,0,0,0,0,red,red
Yemen,0,3,3,1,0,0,0,1,1,0,none,0,0,0,0,0,0,0,0,0,0,red,black
Zambia,3,0,4,1,1,0,0,0,1,1,green,0,0,0,0,0,0,0,0,1,0,green,orange
Zimbabwe,0,7,5,1,1,0,1,1,1,0,none,0,0,0,0,1,0,1,1,1,0,green,green
Taiwan,0,0,3,1,0,1,0,1,0,0,red,0,0,0,1,1,0,0,0,0,0,blue,red
Kosovo,0,0,3,0,0,1,0,1,0,1,blue,0,0,0,0,6,0,0,1,0,0,blue,blue
Northern Cyprus,0,5,2,1,0,0,0,1,0,0,white,0,0,0,0,1,1,0,0,0,0,white,white
Transnistria,0,3,3,1,1,0,1,0,0,0,red,0,0,0,0,1,0,0,1,0,0,red,red
Western Sahara,0,3,4,1,1,0,0,1,1,0,none,0,0,0,0,1,1,1,0,0,0,black,green
